カテゴリー,問題番号,問題,選択肢,正解,解説
関税法等(減免戻し税),56-24-1,B,"（関税定率法第19条の3に規定する輸入時と同一状態で再輸出される場合の戻し税等に関する問題である。）
関税を納付して輸入された貨物を再輸出する際に、関税の払戻しを受けようとする場合には、当該貨物がその輸入の許可の日から6月以内に輸出されるものである場合に限り、その関税の払戻しを受けることができる。",○×,×,"関税を納付して輸入された貨物を再輸出する際に、関税の払戻しを受けようとする場合には、当該貨物がその輸入の許可の日から1年以内（税関長の承認を受ければ延長可。）に輸出されるものである場合に限り、その関税の払戻しを受けることができる(関率19条の3第1項)。よって、6月以内とする部分が誤りとなる。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-5.輸入時と同一状態で再輸出される場合の戻し税（関率19条の3）-（1）要件、金額]"
関税法等(減免戻し税),56-24-2,C,"（関税定率法第19条の3に規定する輸入時と同一状態で再輸出される場合の戻し税等に関する問題である。）
関税の払戻しを受けようとする者は、当該貨物の輸出申告の際に、その品名及び数量並びに輸出の理由を記載した申請書を税関長に提出し、その承認を受けなければならない。",○×,×,"関税の払戻しを受けようとする者は、当該貨物の輸出申告の際に、その品名及び数量並びに輸出の理由を記載した申請書を税関長に提出する必要があるものの(関率令54条の16)、その承認を受けなければならないとする規定はない。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-5.輸入時と同一状態で再輸出される場合の戻し税（関率19条の3）-（2）手続]"
関税法等(減免戻し税),56-24-3,C,"（関税定率法第19条の3に規定する輸入時と同一状態で再輸出される場合の戻し税等に関する問題である。）
関税の払戻しを受けようとする貨物を輸入しようとする者は、当該貨物の輸入申告の際に、関税定率法第19条の3第1項の規定の適用を受けようとする旨、当該貨物の再輸出の予定時期及び予定地並びに当該貨物の性質及び形状その他その再輸出の確認のため必要な事項を税関長に届け出なければならない。",○×,○,"関税の払戻しを受けようとする貨物を輸入しようとする者は、当該貨物の輸入申告の際に、関税定率法19条の3第1項の規定の適用を受けようとする旨、当該貨物の再輸出の予定時期及び予定地並びに当該貨物の性質及び形状その他その再輸出の確認のため必要な事項を税関長に提出（つまり届出）しなければならない(関率令54条の13第1項)。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-5.輸入時と同一状態で再輸出される場合の戻し税（関率19条の3）-（2）手続]"
関税法等(減免戻し税),56-24-4,C,"（関税定率法第19条の3に規定する輸入時と同一状態で再輸出される場合の戻し税等に関する問題である。）
関税の払戻しを受けようとする貨物を輸入しようとする者は、当該貨物の輸入申告の際に、当該貨物に係る関税の納期限について、関税法第9条の2第1項から第3項まで(納期限の延長)の規定の適用を受けることはできない。",○×,×,"納期限が延長された貨物も払い戻しを受けることができる。延長されたために払い戻しすべき時点において未だ関税が未納である場合は、未納の部分は払い戻す関税が存在しないものの、払い戻したとみなされる(関率19条の3第2項)。そうしないと、納税者に払い戻した後に、また納税者から同じ額を徴収するため二度手間となるからである。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-5.輸入時と同一状態で再輸出される場合の戻し税（関率19条の3）-（3）納期限延長と特例申告貨物の払戻しに代わる減額又は控除]"
関税法等(減免戻し税),56-24-5,B,"（関税定率法第19条の3に規定する輸入時と同一状態で再輸出される場合の戻し税等に関する問題である。）
関税を納付して輸入された貨物で、その輸入の許可の日から1年以内に税関長の承認を受けて滅却された貨物については、その関税の払戻しを受けることができる。",○×,×,"滅却されたということは再輸出されていないのだから、払い戻しは受けられない(関率19条の3)。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-5.輸入時と同一状態で再輸出される場合の戻し税（関率19条の3）-（1）要件、金額]"
関税法等(特恵関税、経済連携協定),56-25-1,A,関税暫定措置法第8条の2第1項の特恵関税の適用に関して、当該貨物を輸入する者が特恵関税の適用を受けるために必要な手続をとらないときは、税関長が特恵関税を適用しないことができる。,○×,○,"税関長は、当該貨物を輸入する者が当該便益の適用を受けるために必要な手続（原産地手続）をとらないときは、暫定措置法8条の2第1項（一般特恵関税）の規定による関税についての便益の適用を受けようとする貨物について、当該便益を与えない（つまり一般特恵関税を適用しない）ことができる(暫8条の4第5項2号)。
[参照　第3編（関税定率法、関税暫定措置法）-第8章（特恵関税、経済連携協定、WTO協定）-1.特恵税率及びEPA税率の適用要件-（1）要件]"
関税法等(特恵関税、経済連携協定),56-25-2,A,関税暫定措置法第8条の2第1項の特恵関税の適用に関して、当該貨物を輸入する者に対し、当該貨物の輸出者の事務所において、実地に書類その他の物件を調査することの求めを行った場合において、当該貨物を輸入する者が、当該求めを拒んだときは、税関長が特恵関税を適用しないことができる。,○×,×,"原産品であることを確認するための実地調査は輸出者又は生産者の事務所等において行われるが、輸出者の事務所においての実地調査を求めるなら拒むのは輸出者であり、輸入者が拒んでも実地調査は妨げられない。そのため、特恵関税を適用しないことができるときには当たらない(暫8条の4第1項3号、8条の4第5項)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-④原産品であることの確認]"
関税法等(特恵関税、経済連携協定),56-25-3,A,関税暫定措置法第8条の2第1項の特恵関税の適用に関して、当該貨物の輸出者に対し、当該貨物について質問を行った場合において、当該輸出者が、税関長が定めた期間内に当該質問に対する回答をしないときは、税関長が特恵関税を適用しないことができる。,○×,○,"原産品であることを確認するために税関長は輸出者に対し、貨物について質問することができるが、質問に対する回答をしないときや回答が不十分なときは、税関長は、特恵関税を適用しないことができる(暫8条の4第1項2号、8条の4第5項3号)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-④原産品であることの確認]"
関税法等(特恵関税、経済連携協定),56-25-4,A,関税暫定措置法第8条の2第1項の特恵関税の適用に関して、特恵受益国等の権限ある当局に対し、当該貨物が特恵受益国等原産品であることを明らかにする資料の提供の求めを行った場合において、当該当局が、税関長が定めた期間内に当該求めに対し提供した資料が十分でないときは、税関長が特恵関税を適用しないことができる。,○×,○,"原産品であることを確認するために税関長は特恵受益国等の権限ある当局に対し、資料提供を求めることができるが、資料提供を行わないときや提供された資料が不十分なときは、税関長は、特恵関税を適用しないことができる(暫8条の4第1項4号、8条の4第5項5号)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-④原産品であることの確認]"
関税法等(特恵関税、経済連携協定),56-25-5,A,関税暫定措置法第8条の2第1項の特恵関税の適用に関して、特恵受益国等の権限ある当局に対し、当該当局が当該貨物の輸出者の事務所において行う検査に、その者の同意を得て、我が国の税関職員を立ち会わせ、及び当該検査において収集した資料を提供することの求めを行った場合において、当該当局が、当該求めを拒んだときは、税関長が特恵関税を適用しないことができる。,○×,○,"原産品であることを確認するために税関長は特恵受益国等の権限ある当局に対し、その権限ある当局が輸出者の事務所その他の必要な場所において行う検査に、輸出者の同意を得て、我が国の税関職員を立ち会わせ、その検査において収集した資料の提供を求めることができる。そして、資料提供を行わないときや提供された資料が不十分なときは、税関長は、特恵関税を適用しないことができる(暫8条の4第1項4号、8条の4第5項5号)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-④原産品であることの確認]"
関税法等(通則),56-26-1,B,関税率表の解釈に関する通則2(a)においては、各項に記載するいずれかの物品には、完成した物品で、提示の際に分解してあるものを含まないこととされている。,○×,×,"関税率表の解釈に関する通則2(a)においては、各項に記載するいずれかの物品には、完成した物品で、提示の際に組み立ててないものと分解してあるものを含む、とされている。つまり、完成品であれば、それを税関に提示するときに、組み立ててない状態でもいいし分解してある状態もいいのである。組み立ててないものや分解してあるものでも、パーツが揃っていれば完成品なのである。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第2章（通則）-2.通則2-（2）解説-②2(a)後段 組み立ててないもの・分解したもの]"
関税法等(通則),56-26-2,B,関税率表の解釈に関する通則3(c)においては、二以上の項に属するとみられる物品であって、関税率表の解釈に関する通則3(a)及び(b)の規定により所属を決定することができないものは、等しく考慮に値する項のうち最も高い税率が定められている項に属することとされている。,○×,×,"関税率表の解釈に関する通則3(c)においては、二以上の項に属するとみられる物品であって、関税率表の解釈に関する通則3(a)及び(b)の規定により所属を決定することができないものは、等しく考慮に値する項のうち「数字上の配列において最後となる項に属する」こととされている。HSコードは01.01項から97.06項まで小さい数字から順に並んでるので、1番数字が大きい項が最後となる項であり、この項に属する。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第2章（通則）-3.通則3-（2）解説-④3(c) その他]"
関税法等(通則),56-26-3,A,関税率表の解釈に関する通則6においては、項のうちのいずれの号に物品が属するかは、号の規定及びこれに関係する号の注の規定に従い、かつ、関税率表の解釈に関する通則1から5までの原則を準用して決定することとされている。,○×,○,"関税率表の解釈に関する通則6においては、項のうちのいずれの号に物品が属するかは、号の規定及びこれに関係する号の注の規定に従い、かつ、関税率表の解釈に関する通則1から5までの原則を準用して決定することとされている。項まで（HSコード4桁目まで）は通則1から5までにより分類し、号（HSコード5桁目と6桁目）は、通則1から5まで＋通則6により分類するのである。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第2章（通則）-6.通則6]"
関税法等(通則),56-26-4,C,関税率表の解釈に関する通則4においては、関税率表の解釈に関する通則3の規定によりその所属を決定することができない物品は、当該物品に最も類似する物品が属する項に属することとされている。,○×,×,"関税率表の解釈に関する通則4においては、関税率表の解釈に関する通則1から3までの規定によりその所属を決定することができない物品は、当該物品に最も類似する物品が属する項に属することとされている。通則は1で分類できなければ2、2で分類できなければ3、3で分類できなければ4と順番に適用を検討するのであり、通則1や通則2で分類できるのであれば、通則3により分類できない物品でも通則4を適用することはない。ただ、通常は既に1や2による分類を検討したけどできないから3の適用を検討しているはずなので、そう考えると問題文の内容は正しいと言える余地もあり、問い方が紛らわしくあまりよくない問題である。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第2章（通則）-4.通則4]"
関税法等(通則),56-26-5,B,関税率表の解釈に関する通則5(b)においては、物品とともに提示し、かつ、当該物品の包装に通常使用する包装材料及び包装容器は、反復使用に適することが明らかなものであっても、当該物品に含まれることとされている。,○×,×,"関税率表の解釈に関する通則5(b)の規定は、反復使用に適することが明らかな包装材料及び包装容器については、適用しない。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第2章（通則）-5.通則5]"
関税法等(外国為替及び外国貿易法),56-27-1,B,外国為替及び外国貿易法第48条に規定する経済産業大臣の輸出の許可及び輸出の承認を受けなければならない貨物に該当するものを輸出しようとする場合において、経済産業大臣の輸出の許可を受けたときは、併せて経済産業大臣の輸出の承認を受けることを要しない。,○×,×,"経済産業大臣の輸出の許可(外48条1項)と経済産業大臣の輸出の承認(外48条3項)は別々の条文で規定され目的や内容が異なるものであるから、どちらか1つで他方を含む扱いをしたり、代用したりすることはできない。外為法に限らず、許可や承認や申請や届出などの行為については、主体か名称が同じならどちらか一方でよかったりどちらかで代用できるわけではないので注意しよう。条文で分けて規定されていれば別物なのであり、そのため一般的にテキストで分けて書かれているものはそれぞれ別物である。
[参照　第6編（外国為替及び外国貿易法）-2.輸出の規制-（2）輸出承認-①概要]"
関税法等(外国為替及び外国貿易法),56-27-2,A,輸出貿易管理令別表第2の25の項の中欄に掲げる船舶に該当する貨物を輸出しようとする場合において、水産庁長官の確認を受けたときは、経済産業大臣の輸出の承認（外国為替及び外国貿易法第48条）を受けることを要しない。,○×,×,"輸出貿易管理令別表2の25の中欄に掲げる貨物（漁ろう設備を有する船舶等）の同表下欄に掲げる地域（全地域）を仕向地とする輸出は、原則として経済産業大臣の承認を要する(外48条3項、輸出令2条1項1号)。また、この承認とは別に課された規制として、水産庁長官による漁船輸出の確認を要することもある(輸出注意事項30第15号)。そうすると、経済産業大臣の輸出承認と水産庁長官の確認は別の規制であるから、水産庁長官の確認を受けたからといって経済産業大臣の承認が不要とはならない。この問題は、輸出に際し、経済産業大臣の輸出承認以外にも他の規制がある場合はそれもクリアしなければならないという基本的な知識を有するかを問うものであり、別表2の25の貨物の輸出には水産庁長官の確認を要するという細かい知識を問うものではない。
[参照　第6編（外国為替及び外国貿易法）-1.外為法による規制、2.輸出の規制-（2）輸出承認-②輸出承認を要する場合（原則）]"
関税法等(外国為替及び外国貿易法),56-27-3,B,輸出貿易管理令別表第1の4の項の中欄に掲げる無人航空機に該当する貨物であって、総価額が100万円のものをアメリカ合衆国を仕向地として輸出しようとするときは、経済産業大臣の輸出の許可（外国為替及び外国貿易法第48条）を受けることを要しない。,○×,×,"輸出令別表1中欄に掲げる貨物の輸出は、原則として経済産業大臣の許可を要する(外48条1項、輸出令1条1項、3項)。特例に該当すれば例外的に許可不要だが、本問に挙げられている輸出令別表1の4の項の中欄に掲げる無人航空機に該当する貨物の輸出は特例に該当しない(輸出令4条1項)。したがって、原則通り経済産業大臣の輸出の許可を要する。
[参照　第6編（外国為替及び外国貿易法）-1.外為法による規制、2.輸出の規制-（1）輸出許可-②輸出許可を要する場合（原則）、③輸出許可が不要な場合（特例）]"
関税法等(外国為替及び外国貿易法),56-27-4,B,仮に陸揚げした輸出貿易管理令別表第1の4の項の中欄に掲げる無人航空機に該当する貨物であって、アメリカ合衆国を仕向地とする船荷証券により運送されたものを輸出しようとするときは、経済産業大臣の輸出の許可（外国為替及び外国貿易法第48条）を受けることを要しない。,○×,○,"輸出令別表1中欄に掲げる貨物の輸出は、原則として経済産業大臣の許可を要する(外48条1項、輸出令1条1項、3項)。特例に該当すれば例外的に許可不要だが、仮陸揚貨物のうち、本邦以外の地域を仕向地とする船荷証券により運送されたものを別表3に掲げる地域（輸出管理徹底国。アメリカ合衆国もここに含まれる。）へ輸出しようとするときは、特例に該当する(輸出令4条1項1号)。そうすると、本問では経済産業大臣の輸出許可を要しない。
[参照　第6編（外国為替及び外国貿易法）-1.外為法による規制、2.輸出の規制-（1）輸出許可-②輸出許可を要する場合（原則）、③輸出許可が不要な場合（特例）]"
関税法等(外国為替及び外国貿易法),56-27-5,B,輸出貿易管理令別表第1の16の項の中欄に掲げる関税定率法別表第95類に該当する玩具をアメリカ合衆国を仕向地として輸出しようとするときは、原則として経済産業大臣の輸出の許可（外国為替及び外国貿易法第48条）を受けなければならない。,○×,○,"別表1の中欄に掲げる貨物の輸出はどこの地域に向けて輸出する場合でも全て、原則輸出許可を要する(輸出令1条1項、3項)。なお、本問出題当時は輸出令別表1の中欄に掲げる95類の玩具をアメリカ合衆国に向けて輸出する場合経済産業大臣の輸出許可は不要であったため誤りとなっていたが、令和7年改正によって原則輸出許可を要することとなったので現在は正しい文章となる。
[参照　第6編（外国為替及び外国貿易法）-2.輸出の規制-（1）輸出許可-②輸出許可を要する場合（原則）]"
関税法等(不服申立て、取消しの訴え),56-28-1,A,関税の確定又は徴収に関する税関長の処分に不服がある者は、当該税関長に対して再調査の請求をすることができる。,○×,○,"関税法89条1項では、関税法又は他の関税に関する法律の規定による税関長の処分に不服がある者は、再調査の請求をすることができるとされている。
[参照　第2編（関税法）-第21章（不服申立て、取消しの訴え）-2.再調査の請求]"
関税法等(不服申立て、取消しの訴え),56-28-2,A,税関長による関税の滞納処分についての再調査の請求は、当該処分があったことを知った日の翌日から起算して3月又は当該処分があった日の翌日から起算して1年を経過したときは、正当な理由があるときを除き、することができない。,○×,○,"税関長による関税の滞納処分についての再調査の請求は、当該処分があったことを知った日の翌日から起算して3月又は当該処分があった日の翌日から起算して1年を経過したときは、正当な理由があるときを除き、することができない(関89条1項、行政不服審査法54条)。
[参照　第2編（関税法）-第21章（不服申立て、取消しの訴え）-2.再調査の請求]"
関税法等(不服申立て、取消しの訴え),56-28-3,A,関税法又は他の関税に関する法律の規定による税関職員の処分は、再調査の請求に関する規定の適用に関しては、当該職員の属する税関の税関長がした処分とみなされる。,○×,○,"関税法又は他の関税に関する法律の規定による税関職員の処分は、再調査の請求に関する規定(関89条1項)の適用に関しては、当該職員の属する税関の税関長がした処分とみなされる。税関職員の名で行っても、税関長の名で行ったことになるよということである。
[参照　第2編（関税法）-第21章（不服申立て、取消しの訴え）-1.税関長の処分と不服申立て-（1）税関長の処分]"
関税法等(不服申立て、取消しの訴え),56-28-4,A,関税法の規定による税関長の処分について審査請求があった場合には、財務大臣は、当該審査請求が不適法であり、却下するときであっても、関税等不服審査会に諮問しなければならない。,○×,×,"審査請求が不適法であり、却下する場合は、関税等不服審査会(関令82条)へ諮問する必要はない(関91条2号)。
[参照　第2編（関税法）-第21章（不服申立て、取消しの訴え）-3.審査請求]"
関税法等(不服申立て、取消しの訴え),56-28-5,A,税関長が輸入されようとする貨物のうちに商標権を侵害する物品に該当する貨物があると認定して、当該貨物を輸入しようとする者に対し、その旨及びその理由を通知した場合において、その通知の取消しの訴えを行おうとする者は、当該通知についての審査請求に対する裁決を経ることなく、当該訴えを提起することができる。,○×,○,"関税法において審査請求前置とされているのは、①関税の確定若しくは徴収に関する処分又は滞納処分と、②輸出してはならない貨物又は輸入してはならない貨物の規定による通知(関69条の2第3項、69条の11第3項)について取消訴訟をしようとする場合に限られている(関93条)。本問は、②のうち輸入してはならない貨物の規定による通知だと誤解しそうだが、これは貨物が公安又は風俗を害すべき書籍、図画、彫刻物その他の物品か、児童ポルノに該当する可能性がある場合にのみされる通知であるから、本問のように商標権侵害の可能性がある貨物についての通知は②に当たらない。本問は、商標権を侵害する物品に該当する貨物があると認定して、当該貨物を輸入しようとする者に対し、その旨及びその理由を通知したものであるから、輸入してはならない貨物に係る認定手続における通知である(関69条の12第6項)。したがって、本問の場合は①や②に当たらないので、通知についての審査請求に対する裁決を経ることなく、取消しの訴えを提起することができる。
[参照　第2編（関税法）-第21章（不服申立て、取消しの訴え）-4.取消しの訴え]"
関税法等(罰則（関税法）),56-29-1,C,輸入申告に際し、通関業者の偽りその他不正の行為により関税を免れることとなった場合における当該行為をした通関業者については、関税法の規定により罰せられることがある。,○×,○,"偽りその他不正の行為により関税を免れ、若しくは関税の払戻しを受け、又は関税を納付すべき貨物の関税を納付しないで輸入した者は、関税法110条1項により罰せられることがある。さらに、輸入者本人だけではなく、通関業者の偽りその他不正の行為により関税を免れ、若しくは関税の払戻しを受け、又は関税を納付すべき貨物を関税を納付しないで輸入することとなった場合においては、その通関業者についても、罰せられることがある(関110条2項)。
[参照　第2編（関税法）-第25章（罰則）-2.関税法の罰則-（2）関税を免れる等の罪]"
関税法等(罰則（関税法）),56-29-2,C,輸入申告に際し、偽った書類を提出して貨物を輸入する目的をもってその予備をした者は、当該予備の行為によっては関税法の規定に基づき罰せられることはない。,○×,×,"輸入申告に際し、偽った書類を提出して貨物を輸入した者は、関税法の規定に基づき罰せられることがある(関111条1項2号)。また、この罪を犯す目的をもってその予備をすることも罪となり、関税法の規定に基づき罰せられることがある(関111条4項)。
[参照　第2編（関税法）-第25章（罰則）-2.関税法の罰則-（3）無許可輸出入等の罪]"
関税法等(罰則（関税法）),56-29-3,C,貨物を保税地域等に入れた後にしなければならない輸入申告に際し、その申告に係る貨物を保税地域等に入れたと偽って申告をして、当該貨物を輸入した者は、関税法の規定により罰せられることがある。,○×,○,"関税法111条1項2号では、輸出入申告又は検査に際し、偽った申告若しくは証明をし、又は偽った書類を提出して貨物を輸出入した者について、5年以下の拘禁刑若しくは1,000万円以下の罰金に処し、又はこれを併科すると定める。貨物を保税地域等に入れた後にしなければならない輸入申告に際し、その申告に係る貨物を保税地域等に入れたと偽って申告をして、当該貨物を輸入した者は、輸入申告に際し偽った申告をして貨物を輸入してるのだから、この罪となる。
[参照　第2編（関税法）-第25章（罰則）-2.関税法の罰則-（3）無許可輸出入等の罪]"
関税法等(罰則（関税法）),56-29-4,C,関税法第110条(関税を免れる等の罪)の犯罪に係る貨物であっても、同法第118条第3項に規定する輸入制限貨物等に該当しないものは、同条第1項本文の規定により没収されることはない。,○×,○,"関税法118条1項本文では、「108条の4から111条までの犯罪に係る貨物（110条又は111条の犯罪に係る貨物にあっては、輸入制限貨物等に限る…）は、没収する。」としており、110条の犯罪（関税を免れる等の罪）に係る貨物にあっては、輸入制限貨物等以外であれば没収されない。なお、輸入制限貨物等とは輸入に係る貨物のうち酒、たばこ、国の専売品又は非自由化品目（輸入割当品目）を指す(関118条3項)。
[参照　第2編（関税法）-第25章（罰則）-2.関税法の罰則-（2）関税を免れる等の罪]"
関税法等(罰則（関税法）),56-29-5,C,法人の従業者がその法人の業務について、関税法第111条第1項(許可を受けないで輸出入する等の罪)に該当する違反行為をした場合には、当該従業者が同法の規定に基づき罰せられることがあるほか、その法人に対しても罰金刑が科せられることがある。,○×,○,"関税法117条1項により「法人の代表者又は法人若しくは人の代理人、使用人その他の従業者がその法人又は人の業務又は財産について、108条の4から112条まで…に該当する違反行為…をしたときは、その行為者を罰するほか、その法人又は人に対して当該各条の罰金刑を科する。」とされており（両罰規定）、法人の従業者がその法人の業務について、関税法第111条第1項(無許可輸出入等の罪)に該当する違反行為をした場合には、当該従業者が同法の規定に基づき罰せられることがあるほか、その法人に対しても罰金刑が科せられることがある。
[参照　第2編（関税法）-第25章（罰則）-2.関税法の罰則-（3）無許可輸出入等の罪]"
関税法等(特殊関税),56-30-1,B,輸入貨物に対し相殺関税が課されている場合において、補助金の交付を受けた当該輸入貨物の輸入及び当該輸入が本邦の産業(当該補助金の交付を受けた輸入貨物と同種の貨物を生産しているものに限る。)に実質的な損害を与える事実が当該相殺関税を課することとした期間の満了後に継続するおそれがあると認められるときは、当該期間を延長することができる。,○×,○,"相殺関税を課す場合は5年以内の期間を指定して行うが、補助金の交付を受けた貨物の輸入とその輸入が本邦の産業(補助金の交付を受けた輸入貨物と同種の貨物を生産しているものに限る。)に与える実質的な損害等の事実が指定期間満了後に継続し、又は再発するおそれがあると認められるときは、指定期間を延長することができる(関率7条22項)。
[参照　第3編（関税定率法、関税暫定措置法）-第2章（特殊関税）-2.相殺関税-（3）指定]"
関税法等(特殊関税),56-30-2,B,関税定率法第7条第1項に規定する本邦の産業に利害関係を有する者は、政府に対し、補助金の交付を受けた貨物の輸入の事実及び当該輸入が本邦の産業に実質的な損害を与える事実についての十分な証拠を提出し、当該貨物に対し相殺関税を課することを求めることができる。,○×,○,"関税定率法7条1項に規定する本邦の産業に利害関係を有する者は、政府に対し、補助金の交付を受けた貨物の輸入の事実及び当該輸入の本邦の産業に与える実質的な損害等の事実についての十分な証拠を提出し、当該貨物に対し相殺関税を課することを求めることができる(関率7条5項)。
[参照　第3編（関税定率法、関税暫定措置法）-第2章（特殊関税）-2.相殺関税-（5）調査開始から指定までの手続-①調査開始]"
関税法等(特殊関税),56-30-3,B,相殺関税は、当該相殺関税を課されることとなる貨物の輸入者が納める義務がある。,○×,○,"相殺関税は関税の一種なので、当該相殺関税を課されることとなる貨物の輸入者が納める義務がある(関率7条4項)。
[参照　第3編（関税定率法、関税暫定措置法）-第2章（特殊関税）-2.相殺関税-（4）納税義務者]"
関税法等(特殊関税),56-30-4,B,相殺関税は、外国において生産について直接に補助金の交付を受けた貨物の輸入が本邦の産業(当該補助金の交付を受けた輸入貨物と同種の貨物を生産しているものに限る。)に重大な損害を与えるおそれがある事実がある場合において、当該本邦の産業を保護するため真に必要があると認められるときは、当該補助金の額を超える額を課することができる。,○×,×,"相殺関税は、外国での補助金の分だけ価格競争で有利に立てることを理由に課す関税であるから、補助金の額と同額以下の関税しか課すことができない(関率7条1項)。
[参照　第3編（関税定率法、関税暫定措置法）-第2章（特殊関税）-2.相殺関税-（2）課税額]"
関税法等(特殊関税),56-30-5,B,関税定率法第7条に規定する相殺関税に関して、政府は、補助金の交付を受けた貨物の輸入の事実及び当該輸入が本邦の産業(当該補助金の交付を受けた輸入貨物と同種の貨物を生産しているものに限る。)に実質的な損害を与える事実についての十分な証拠がある場合において、必要があると認めるときは、これらの事実の有無につき調査を行うものとされており、当該調査は、当該調査を開始した日から1年以内に終了するものとされているが、特別の理由により必要があると認められる場合には、その期間を6月以内に限り延長することができるとされている。,○×,○,"政府は、補助金の交付を受けた貨物の輸入の事実及び当該輸入が本邦の産業(当該補助金の交付を受けた輸入貨物と同種の貨物を生産しているものに限る。)に実質的な損害を与える事実についての十分な証拠がある場合において、必要があると認めるときは、これらの事実の有無につき調査を行うものとされており、当該調査は、当該調査を開始した日から1年以内に終了するものとされているが、特別の理由により必要があると認められる場合には、その期間を6月以内に限り延長することができるとされている(関率7条6項、7項)。
[参照　第3編（関税定率法、関税暫定措置法）-第2章（特殊関税）-2.相殺関税-（5）調査開始から指定までの手続-①調査開始]"
